Country;Code;lat;lng;Population;Density
Algeria;DZ;28.033886;1.659626;43053054;18
Angola;AO;-11.202692;17.873887;31825295;26
Benin;BJ;9.30769;2.315834;11801151;105
Botswana;BW;-22.328474;24.684866;2303697;4
Burkina Faso;BF;12.238333;-1.561593;20321378;74
Burundi;BI;-3.373056;29.918886;11530580;449
Cape Verde;CV;16.002082;-24.013197;549935;136
Cameroon;CM;7.369722;12.354722;25876380;55
Central African Republic;CF;6.611111;20.939444;4745185;8
Chad;TD;15.454166;18.732207;15946876;13
Comoros;KM;-11.875001;43.872219;850886;457
Congo;CG;-0.228021;15.827659;5380508;16
Côte d'Ivoire;CI;7.539989;-5.54708;25716544;81
Djibouti;DJ;11.825138;42.590275;97356;42
DR Congo;CD;-4.038333;21.758664;86790567;38
Egypt;EG;26.820553;30.802498;100388073;101
Equatorial Guinea;GQ;1.650801;10.267895;1355986;48
Eritrea;ER;15.179384;39.782334;3497117;35
Eswatini;SZ;-26.522503;31.465866;1148130;67
Ethiopia;ET;9.145;40.489673;112078730;112
Gabon;GA;-0.803689;11.609444;2172579;8
Gambia;GM;13.443182;-15.310139;2347706;232
Ghana;GH;7.946527;-1.023194;30417856;134
Guinea;GN;9.945587;-9.696645;12771246;52
Guinea-Bissau;GW;11.803749;-15.180413;1920922;68
Kenya;KE;-0.023559;37.906193;52573973;92
Lesotho;LS;-29.609988;28.233608;Lesotho;70
Liberia;LR;6.428055;-9.429499;4937374;51
Libya;LY;26.3351;17.228331;6777452;4
Madagascar;MG;-18.766947;46.869107;26969307;46
Malawi;MW;-13.254308;34.301525;18628747;198
Mali;ML;17.570692;-3.996166;19658031;16
Mauritania;MR;21.00789;-10.940835;4525696;4
Mauritius;MU;-20.348404;57.552152;1269668;625
Mayotte;YT;-12.8275;45.166244;26615;710
Morocco;MA;31.791702;-7.09262;36471769;82
Mozambique;MZ;-18.665695;35.529562;30366036;39
Namibia;NA;-22.95764;18.49041;2494530;3
Niger;NE;17.607789;8.081666;23310715;18
Nigeria;NG;9.081999;8.675277;200963599;221
Rwanda;RW;-1.940278;29.873888;12626950;512
Réunion;RE;-21.115141;55.536384;888927;356
Saint Helena;SH;-24.143474;-10.030696;6059;16
Sao Tome & Principe;ST;0.18636;6.613081;215056;224
Senegal;SN;14.497401;-14.452362;16296364;85
Seychelles;SC;-4.679574;55.491977;97739;212
Sierra Leone;SL;8.460555;-11.779889;7813215;108
Somalia;SO;5.152149;46.199616;15442905;25
South Africa;ZA;-30.559482;22.937506;58558270;48
South Sudan;SS;4.859363;31.571251;11062113;18
Sudan;SD;12.862807;30.217636;42813238;24
Tanzania;TZ;-6.369028;34.888822;58005463;65
Togo;TG;8.619543;0.824782;8082366;149
Tunisia;TN;33.886917;9.537499;11694719;75
Uganda;UG;1.373333;32.290275;44269594;222
Western Sahara;EH;24.215527;-12.885834;582463;2
Zambia;ZM;-13.133897;27.849332;17861030;24
Zimbabwe;ZW;-19.015438;29.154857;14645468;38
